 Created on  6Sep2024 at 22:11:16 
    0.679957    0.475881   -0.557849
    0.779503    0.258397   -0.570619
    0.780501    0.208540   -0.589347
    0.825059    0.537499   -0.174279
    0.694535    0.522168   -0.494937
    0.805932    0.331227   -0.490675
    0.700603    0.204688   -0.683563
    0.943312   -0.277364   -0.182296
    0.808000    0.118739   -0.577094
    0.791043    0.457108   -0.406576
    0.800137    0.213528   -0.560523
    0.774954    0.435418   -0.458101
    0.908443    0.231391   -0.348122
    0.806036   -0.032535   -0.590972
    0.838492    0.185212   -0.512472
    0.879308    0.397526   -0.262280
    0.774249    0.493917   -0.395707
    0.778047    0.466800   -0.420406
    0.891018    0.020147   -0.453522
    0.868023   -0.064683   -0.492293
    0.894986    0.141979   -0.422897
    0.812690    0.311729   -0.492301
    0.841640    0.351414   -0.410062
    0.859098    0.170375   -0.482621
    0.748179    0.168863   -0.641649
    0.947830    0.066010   -0.311867
    0.886773    0.181681   -0.425000
    0.870481    0.429707   -0.240033
    0.921947    0.163819   -0.350967
    0.821677    0.438201   -0.364456
    0.746642    0.288921   -0.599208
    0.854485    0.033493   -0.518395
    0.902410    0.290475   -0.318245
    0.784989    0.435604   -0.440502
    0.702848    0.032148   -0.710614
    0.838139    0.218757   -0.499668
    0.875970    0.204126   -0.437046
    0.905091    0.351937   -0.238645
    0.897524    0.070710   -0.435259
    0.912719    0.187204   -0.363179
    0.865000    0.193079   -0.463136
    0.951851    0.027423   -0.305332
    0.566926    0.330375   -0.754617
    0.810440    0.231173   -0.538280
    0.762177    0.329447   -0.557270
    0.852450    0.189748   -0.487159
    0.881957    0.173791   -0.438119
    0.755936    0.046074   -0.653022
    0.875396    0.262639   -0.405837
    0.936026    0.172338   -0.306847
    0.911007    0.377401   -0.166237
    0.884305   -0.136816   -0.446414
    0.730812   -0.130334   -0.670020
    0.838310    0.252615   -0.483137
    0.960528    0.168745   -0.221160
    0.753626    0.108118   -0.648351
    0.730501    0.302006   -0.612504
    0.878860    0.324938   -0.349315
    0.750238    0.191995   -0.632677
    0.870421   -0.046127   -0.490142
    0.928821    0.075175   -0.362822
    0.923695    0.380689   -0.043163
    0.767867    0.162173   -0.619741
    0.907852    0.359864   -0.215182
    0.804536    0.413743   -0.426074
    0.910736    0.058901   -0.408768
    0.795203    0.116976   -0.594952
    0.796012    0.058080   -0.602487
    0.922424   -0.004373   -0.386155
    0.973956    0.160745   -0.159909
    0.865788    0.384292   -0.320516
    0.884486    0.357636   -0.299634
    0.744009    0.166843   -0.647004
    0.863624    0.295535   -0.408427
    0.863748    0.206960   -0.459464
    0.929342    0.192914   -0.314815
    0.756417    0.181747   -0.628332
    0.827853    0.326230   -0.456327
    0.930196    0.101409   -0.352777
    0.944206   -0.056333   -0.324503
    0.869081    0.286636   -0.403160
    0.721961    0.524046   -0.451828
    0.833017    0.423572   -0.355907
    0.866638    0.370268   -0.334426
    0.799921    0.238988   -0.550465
    0.932038   -0.062658   -0.356901
    0.988008    0.126481    0.088558
    0.944758    0.092301   -0.314505
    0.903795    0.385759   -0.185320
    0.828007    0.259454   -0.497080
    0.882916   -0.130454   -0.451045
    0.954474   -0.170675   -0.244640
    0.862297    0.423859   -0.277104
    0.834914    0.242686   -0.493986
    0.653949    0.566449   -0.501484
    0.892797    0.234914   -0.384355
    0.844117    0.039585   -0.534695
    0.956539    0.130354   -0.260846
    0.947411    0.218931   -0.233413
    0.872666    0.181790   -0.453218
    0.739256    0.346355   -0.577528
    0.676244    0.285703   -0.679020
    0.920868    0.315877   -0.228525
    0.870899    0.067660   -0.486782
    0.865398   -0.158410   -0.475387
    0.863585    0.094186   -0.495328
    0.748004    0.433272   -0.502757
    0.899963    0.241408   -0.363026
    0.862760    0.297234   -0.409020
    0.865038    0.225484   -0.448181
    0.972595    0.035545   -0.229774
    0.923031    0.138507   -0.358928
    0.820408    0.140461   -0.554257
    0.907561   -0.002188   -0.419915
    0.826980    0.240073   -0.508398
    0.928409    0.297852   -0.222127
    0.925867    0.304149   -0.224197
    0.661810    0.395128   -0.637088
    0.796119    0.294904   -0.528418
    0.938343   -0.026089   -0.344719
    0.777588    0.151106   -0.610348
    0.357330    0.280594   -0.890832
    0.591027    0.172771   -0.787932
    0.811985    0.309545   -0.494836
    0.917900    0.038633   -0.394927
    0.920115    0.230746   -0.316457
    0.874849    0.050848   -0.481720
    0.894281    0.232152   -0.382579
    0.920626   -0.065299   -0.384948
    0.768060    0.242377   -0.592737
    0.847111    0.238497   -0.474891
    0.749564    0.140502   -0.646849
    0.842117    0.135191   -0.522075
    0.833690    0.473471   -0.284228
    0.777459    0.388150   -0.494871
    0.866242   -0.011501   -0.499493
    0.789872    0.199974   -0.579752
    0.664065    0.397091   -0.633511
    0.857673    0.318930   -0.403338
    0.824865    0.185386   -0.534069
    0.990581   -0.095644   -0.097983
    0.787082    0.098066   -0.609004
    0.666854    0.352220   -0.656694
    0.815593    0.247018   -0.523250
    0.903715    0.136695   -0.405726
    0.823790    0.253490   -0.507064
    0.765738   -0.024902   -0.642670
    0.771784    0.210718   -0.599957
    0.759794    0.054673   -0.647861
    0.646881    0.375677   -0.663635
    0.769499   -0.001384   -0.638647
    0.757355    0.238942   -0.607716
    0.741599    0.297883   -0.601080
    0.918830    0.050461   -0.391415
    0.788677    0.184999   -0.586314
    0.742584    0.393083   -0.542268
    0.939593    0.253071   -0.230478
    0.956976    0.048538   -0.286080
    0.898667    0.127823   -0.419593
    0.951998    0.305536   -0.018671
    0.853979    0.291243   -0.431159
    0.805662    0.418946   -0.418799
    0.824741    0.262579   -0.500855
    0.733170    0.126247   -0.668224
    0.851393    0.282529   -0.441935
    0.657464    0.454465   -0.601001
    0.923581    0.158187   -0.349249
    0.996404   -0.029613   -0.079389
    0.803272    0.104075   -0.586448
    0.704916    0.395831   -0.588567
    0.764227    0.449425   -0.462573
    0.883335    0.065999   -0.464073
    0.880026    0.409695   -0.240217
    0.846200    0.019470   -0.532510
    0.852161    0.310612   -0.421119
