 Created on  6Dec2024 at 17:07:29 
    0.424062   -0.052723    0.904097
    0.331700   -0.094146   -0.938676
    0.047478    0.346194   -0.936961
   -0.527609    0.418571   -0.739207
    0.196828    0.041739    0.979549
    0.040487    0.357485    0.933041
   -0.254233   -0.220366    0.941703
   -0.564777   -0.721315    0.400914
   -0.212640   -0.036034    0.976466
   -0.017899    0.149906    0.988538
   -0.174482   -0.837786   -0.517369
    0.286903    0.177748   -0.941325
    0.274490   -0.242032   -0.930632
   -0.013189   -0.078653    0.996815
    0.114047    0.640154   -0.759734
   -0.052834   -0.327411   -0.943404
   -0.011700   -0.133487    0.990982
    0.689531   -0.208933    0.693465
   -0.130008    0.300457   -0.944893
    0.059210   -0.462538   -0.884620
   -0.127503   -0.153533    0.979883
   -0.255178    0.035411   -0.966245
    0.131313   -0.572286   -0.809473
   -0.106571   -0.025914   -0.993967
    0.469967   -0.439303   -0.765600
    0.183033    0.140546    0.973009
    0.358003   -0.189204    0.914350
   -0.330388    0.222236    0.917308
   -0.267266    0.243083    0.932459
   -0.271141    0.061905   -0.960547
   -0.454770    0.165573   -0.875083
   -0.215139    0.381118    0.899146
   -0.534253   -0.399213   -0.745119
   -0.429304    0.379623   -0.819502
   -0.036456   -0.001398    0.999334
    0.150712    0.115300   -0.981831
    0.207784   -0.333630   -0.919520
    0.540001    0.280085    0.793694
   -0.050058    0.271831    0.961042
   -0.572665   -0.263614    0.776249
    0.122955   -0.298561    0.946437
   -0.335356   -0.286749   -0.897391
   -0.389422    0.083303    0.917285
    0.508087    0.055812   -0.859496
    0.463144   -0.030123    0.885771
    0.349705   -0.013589   -0.936761
   -0.127886   -0.380041    0.916086
   -0.639464   -0.241269    0.729983
    0.391125    0.055607    0.918656
   -0.282397   -0.410527   -0.867018
   -0.407524    0.567613    0.715360
   -0.239150    0.047305    0.969830
   -0.465611   -0.421530   -0.778151
    0.075443    0.365946    0.927573
   -0.033778   -0.061093    0.997560
   -0.395616    0.348882    0.849570
   -0.382485    0.077052   -0.920743
   -0.271847    0.901817   -0.335895
    0.321680   -0.361642   -0.875064
   -0.140370    0.069350   -0.987667
    0.390282    0.147123   -0.908864
    0.281208    0.245411    0.927737
   -0.416539    0.477053    0.773897
   -0.212566   -0.209873    0.954342
   -0.025709   -0.350598    0.936173
    0.023507    0.065347   -0.997586
   -0.528631   -0.319078   -0.786599
   -0.160719   -0.215445    0.963199
    0.267134    0.548888   -0.792061
    0.607997   -0.236577   -0.757873
   -0.213327   -0.507997    0.834524
    0.105397    0.323182   -0.940449
   -0.400833   -0.228917   -0.887091
   -0.545448    0.211386    0.811051
    0.362824    0.117323    0.924442
   -0.436651    0.150782    0.886905
   -0.027032   -0.278590    0.960030
    0.065972   -0.726584   -0.683903
   -0.055226   -0.046724   -0.997380
    0.179817    0.229959   -0.956444
    0.250686    0.273103   -0.928747
   -0.145266   -0.432306   -0.889949
   -0.578627    0.144794    0.802636
   -0.279530    0.202981    0.938436
   -0.123100    0.412809    0.902461
    0.395574    0.187448   -0.899102
    0.193215   -0.247096    0.949532
    0.138007    0.027269    0.990056
    0.298507    0.149131   -0.942684
    0.031578   -0.186959    0.981860
   -0.217588    0.244486    0.944925
    0.076146    0.053428    0.995664
    0.335945   -0.271409   -0.901930
   -0.430398   -0.225531   -0.874010
   -0.333767    0.124560   -0.934390
   -0.517520    0.121184   -0.847046
    0.128194   -0.219384   -0.967180
    0.164954   -0.493747   -0.853818
    0.055703   -0.179512    0.982178
    0.294737    0.055070   -0.953990
    0.203845   -0.495735    0.844212
   -0.132898    0.195753   -0.971606
   -0.325576   -0.133404   -0.936057
    0.217040   -0.575649    0.788367
   -0.534549    0.159870   -0.829879
   -0.095671   -0.117207   -0.988489
   -0.068290    0.403701    0.912339
   -0.369238    0.294765   -0.881350
    0.095237   -0.163122   -0.981998
    0.304188    0.084175    0.948886
    0.038737    0.403869    0.913996
    0.209169    0.077620    0.974794
   -0.007850    0.099910    0.994965
   -0.215232    0.288570   -0.932954
    0.353728   -0.099438   -0.930048
    0.493082   -0.246771   -0.834251
   -0.116157   -0.061819   -0.991305
    0.119228   -0.421224    0.899085
   -0.012272   -0.002982    0.999920
    0.334833    0.084460    0.938485
   -0.325539   -0.271608    0.905678
    0.034770    0.059201   -0.997640
   -0.071546   -0.210216    0.975034
   -0.264573   -0.033586    0.963781
   -0.259980   -0.041416   -0.964725
   -0.094324    0.359725    0.928279
    0.460270   -0.230443    0.857349
   -0.158541   -0.190438    0.968813
    0.387061   -0.018733   -0.921864
   -0.637531    0.548935   -0.540578
   -0.267033    0.402897   -0.875424
   -0.377657    0.356809   -0.854437
    0.003012    0.431285   -0.902211
    0.408778    0.418334   -0.811109
    0.137797    0.073616    0.987721
    0.034142    0.301916   -0.952723
    0.057497   -0.010681    0.998289
   -0.621021   -0.227701   -0.749990
   -0.103477    0.373687    0.921765
    0.586072    0.054650    0.808414
   -0.064401   -0.007265    0.997898
   -0.476912    0.157343   -0.864753
    0.217632   -0.071730    0.973391
   -0.062899   -0.509875   -0.857946
    0.055698    0.535363   -0.842784
    0.520358    0.297625    0.800404
    0.088686   -0.159641    0.983183
    0.548239   -0.113326    0.828608
    0.165734   -0.216519    0.962108
    0.043736   -0.114802   -0.992425
    0.013629   -0.308675   -0.951070
    0.368157    0.251561   -0.895085
   -0.262360    0.889235   -0.374737
    0.217298   -0.150944    0.964364
   -0.123705    0.297445    0.946691
   -0.251937   -0.149063    0.956195
    0.376345   -0.111301    0.919770
   -0.389447   -0.435903   -0.811369
    0.240220   -0.190735   -0.951796
    0.053017    0.091183    0.994422
   -0.031608    0.230557   -0.972545
    0.077319    0.388779    0.918081
   -0.343321    0.575123    0.742539
    0.624854   -0.196875    0.755512
   -0.031604    0.030218   -0.999044
   -0.376137   -0.613915   -0.693995
    0.204498   -0.208219   -0.956465
    0.091444   -0.072589   -0.993161
    0.296750    0.574549   -0.762780
    0.154605    0.127765   -0.979680
    0.365454    0.279923    0.887742
   -0.066724    0.190966   -0.979326
    0.119803   -0.434041    0.892892
    0.249843   -0.122733   -0.960477
    0.099880   -0.721755    0.684904
   -0.122257    0.071024    0.989954
   -0.098311    0.059488    0.993376
    0.217602   -0.460272   -0.860697
   -0.397503    0.049210    0.916281
    0.157938   -0.192011    0.968601
   -0.452145    0.032086   -0.891367
    0.231840   -0.051004    0.971416
   -0.169165    0.150511    0.974028
    0.052854    0.489536    0.870380
    0.472429    0.478609    0.740097
   -0.608202    0.552729   -0.569720
    0.195444   -0.288146   -0.937429
   -0.579202   -0.470236   -0.665885
   -0.424749   -0.123724   -0.896817
   -0.430433    0.297410    0.852218
   -0.213576   -0.020305    0.976715
   -0.257704    0.142759    0.955620
    0.064659   -0.039123    0.997140
   -0.005522   -0.318110   -0.948038
    0.230388   -0.059198   -0.971297
   -0.453365    0.067872    0.888737
    0.174930   -0.072174   -0.981932
    0.107116    0.007469   -0.994219
    0.171508    0.417369    0.892406
   -0.055561   -0.231910   -0.971149
   -0.116329   -0.298172   -0.947397
    0.054147   -0.407691   -0.911513
   -0.038749   -0.194407   -0.980155
    0.089113    0.423551   -0.901478
   -0.191437    0.215418   -0.957573
    0.204182    0.445274   -0.871803
   -0.131765    0.133214    0.982289
   -0.137461   -0.232501   -0.962833
   -0.513647    0.019800    0.857773
   -0.009257   -0.495130   -0.868770
   -0.671640   -0.473018    0.570222
    0.264459   -0.047449    0.963229
   -0.185621   -0.138214    0.972852
   -0.262789    0.285337   -0.921696
   -0.073897    0.373814    0.924555
   -0.366044    0.543952    0.755068
    0.084090    0.110962   -0.990261
   -0.566300    0.517837    0.641209
