 Created on  4Sep2024 at 19:02:01 
   -0.032688   -0.460257   -0.887184
   -0.210486   -0.894548   -0.394308
    0.194703   -0.935862    0.293690
    0.525168   -0.531369   -0.664715
    0.258134    0.921715   -0.289497
   -0.129061   -0.980824    0.146037
    0.182733   -0.834741   -0.519438
    0.583549   -0.313842   -0.748982
   -0.451100   -0.289349   -0.844266
    0.833353   -0.416068   -0.363882
    0.815284   -0.142218   -0.561326
    0.661504   -0.505717   -0.553771
    0.853827   -0.501001    0.141339
   -0.047387   -0.263069   -0.963613
    0.388623   -0.612991   -0.687906
    0.158596   -0.691911   -0.704349
   -0.339402    0.401825   -0.850496
   -0.990448    0.048293    0.129151
    0.675511   -0.230189   -0.700498
   -0.170524   -0.498773   -0.849792
    0.739114   -0.196943   -0.644146
   -0.076326   -0.997083    0.000579
   -0.109189   -0.656331   -0.746530
    0.362245    0.161611   -0.917965
    0.139274   -0.400531   -0.905636
   -0.096574   -0.950658    0.294826
    0.167847   -0.886436   -0.431345
    0.548788   -0.585798   -0.596383
    0.129620   -0.660644   -0.739424
    0.604617   -0.796387   -0.014352
   -0.266604   -0.906476   -0.327451
    0.210042   -0.437361   -0.874413
    0.296728    0.200519   -0.933673
    0.206929   -0.893639   -0.398233
    0.708067    0.469010   -0.527893
    0.210175   -0.865581   -0.454529
   -0.092806    0.991217    0.094215
    0.275332   -0.862654   -0.424288
    0.826445   -0.559611   -0.061842
    0.522004   -0.333063   -0.785227
    0.413637   -0.167910   -0.894825
   -0.001041   -0.516861   -0.856069
    0.320421    0.337413   -0.885146
    0.140986   -0.370773   -0.917960
    0.896124    0.155107   -0.415817
    0.342842   -0.505349   -0.791885
   -0.158593    0.667452   -0.727569
    0.062333    0.063498   -0.996033
    0.509201   -0.232549   -0.828635
   -0.308124   -0.854677   -0.417836
    0.744515   -0.641212   -0.185860
    0.865129   -0.349931    0.359304
    0.643044   -0.199338   -0.739431
    0.217848    0.116766   -0.968973
    0.422699    0.176927   -0.888832
    0.568747   -0.526302   -0.632086
    0.811838   -0.246719   -0.529197
    0.388689   -0.494751   -0.777266
    0.672376   -0.373572   -0.639026
   -0.620412    0.003131   -0.784270
   -0.171292   -0.961554   -0.214645
    0.788773   -0.325720   -0.521290
    0.475758   -0.132938   -0.869472
    0.348243   -0.118871   -0.929837
    0.353624   -0.451594   -0.819154
    0.974544   -0.205719   -0.089130
   -0.227438    0.062783   -0.971766
   -0.219287   -0.799770   -0.558822
    0.752588   -0.392071   -0.529048
    0.800882   -0.593594    0.078960
    0.463089   -0.591202   -0.660325
    0.337642   -0.468151   -0.816598
    0.066618   -0.068048   -0.995455
    0.528001   -0.745175   -0.407343
    0.305952   -0.777322   -0.549695
   -0.030740   -0.961190   -0.274169
    0.945973   -0.323821    0.016582
   -0.181083    0.771901   -0.609407
   -0.012973   -0.653028   -0.757223
   -0.389955   -0.622005   -0.679003
    0.550955   -0.834044   -0.028623
    0.020942   -0.988550    0.149434
   -0.183288   -0.895058   -0.406542
    0.699215    0.177135   -0.692620
   -0.004865   -0.710091   -0.704093
    0.456126   -0.810157   -0.368232
    0.526840   -0.186576   -0.829234
   -0.419866   -0.462678   -0.780795
    0.470519    0.767082   -0.436116
   -0.102553   -0.708403   -0.698318
    0.434902    0.585938   -0.683767
    0.513232   -0.204784   -0.833460
    0.689655   -0.612881   -0.385686
    0.109835    0.410444   -0.905247
    0.289415   -0.801715   -0.522964
    0.619912   -0.513298   -0.593493
   -0.020356   -0.128025   -0.991562
    0.336183    0.331085   -0.881682
    0.421778   -0.061000   -0.904645
    0.416870   -0.431731   -0.799892
   -0.342291   -0.186570   -0.920884
   -0.580337   -0.566652   -0.584906
    0.754559   -0.635190   -0.164846
   -0.793008   -0.414324   -0.446625
    0.021520   -0.708769   -0.705112
    0.243111   -0.621031   -0.745130
    0.960980    0.196799   -0.194389
    0.556153   -0.592800   -0.582479
   -0.040700   -0.380568   -0.923857
    0.492589   -0.752116   -0.437809
    0.711764    0.183460   -0.678038
    0.030574   -0.294768   -0.955080
    0.727751   -0.680723   -0.083634
    0.763362    0.322284   -0.559831
    0.311128   -0.934149    0.174829
   -0.514118   -0.140703   -0.846100
    0.286327   -0.303434   -0.908815
    0.063085   -0.179290   -0.981772
   -0.366861   -0.507524   -0.779636
    0.553229    0.649843   -0.521193
    0.379450   -0.383250   -0.842103
    0.483921    0.133643   -0.864847
   -0.045709   -0.996937    0.063454
    0.461051   -0.795460    0.393288
    0.015822   -0.788041   -0.615419
    0.050090   -0.394546   -0.917510
    0.271473   -0.486457   -0.830459
    0.453789    0.488852   -0.745050
    0.282300   -0.689401   -0.667108
    0.433425   -0.704027   -0.562574
    0.054116   -0.272286   -0.960693
   -0.250464   -0.828477   -0.500892
    0.182800   -0.606948   -0.773433
   -0.516086   -0.411840   -0.751028
    0.324992   -0.873912   -0.361467
   -0.360409   -0.106264   -0.926722
    0.540498   -0.126682   -0.831753
    0.030223   -0.448623   -0.893210
    0.654798   -0.632592   -0.413603
   -0.197084   -0.437013   -0.877598
    0.812664   -0.108648   -0.572515
   -0.353091   -0.925340   -0.138103
    0.231510   -0.248743   -0.940495
    0.654254   -0.737093   -0.169252
   -0.135096   -0.611653   -0.779506
    0.339672   -0.676054   -0.653891
   -0.022864   -0.955523   -0.294028
    0.733474   -0.668498   -0.122991
    0.417947   -0.477372   -0.772940
    0.670107    0.709774   -0.217203
    0.113070   -0.964943   -0.236855
   -0.778280   -0.602169   -0.177968
    0.529234   -0.727108   -0.437293
    0.172014   -0.864375    0.472512
   -0.218336   -0.868371   -0.445266
   -0.140739   -0.040221   -0.989229
    0.947480   -0.186246   -0.259987
    0.666764   -0.504289   -0.548742
    0.402724   -0.900312    0.165084
    0.043836   -0.925688   -0.375738
    0.300615    0.792448   -0.530713
   -0.049671    0.665588   -0.744664
    0.524608   -0.049825   -0.849884
   -0.305891   -0.630840   -0.713072
   -0.904638   -0.084995   -0.417618
    0.306438   -0.902925   -0.301368
    0.384718   -0.915091    0.120832
    0.362010   -0.019885   -0.931962
    0.397845   -0.674683   -0.621709
   -0.406734   -0.808021   -0.426228
    0.806298   -0.319304   -0.497925
   -0.263223   -0.409405   -0.873557
   -0.427785   -0.858003    0.284309
    0.636846   -0.657175   -0.403172
   -0.030166   -0.301820   -0.952887
   -0.781541   -0.539462   -0.313328
    0.106457    0.618479    0.778557
    0.279983    0.256124   -0.925208
   -0.164724   -0.115694   -0.979531
    0.137033   -0.931170   -0.337853
    0.586759    0.498315   -0.638276
    0.356064   -0.928384   -0.106402
    0.343314    0.085454   -0.935325
    0.176428   -0.983253   -0.045678
   -0.222059   -0.046526   -0.973922
   -0.306607   -0.733012   -0.607194
   -0.384870   -0.582241   -0.716149
   -0.427212    0.128568   -0.894964
   -0.015357   -0.845998   -0.532964
   -0.026996   -0.680706   -0.732059
    0.792913   -0.474424   -0.382374
    0.829992    0.079563   -0.552072
    0.798256   -0.370579   -0.474824
   -0.073722   -0.691635   -0.718475
    0.901226    0.429966   -0.054045
    0.417886   -0.474385   -0.774810
    0.333022   -0.426825   -0.840784
   -0.149742   -0.344835   -0.926643
    0.071176   -0.471626   -0.878922
    0.955638    0.179227   -0.233737
    0.087910   -0.490339   -0.867087
   -0.103998   -0.504567   -0.857086
    0.440417   -0.110692   -0.890943
    0.394744   -0.430741   -0.811566
    0.399118    0.207728   -0.893059
    0.872805    0.020672   -0.487631
    0.049178   -0.252455   -0.966358
    0.177303   -0.130585   -0.975454
    0.878061   -0.478351    0.013776
    0.334821   -0.848415   -0.409983
    0.284226   -0.744191   -0.604479
   -0.058185   -0.776050   -0.627982
   -0.094185   -0.622098   -0.777254
    0.260369   -0.882013    0.392761
    0.494592   -0.754966   -0.430586
    0.483845   -0.381992   -0.787386
    0.636822   -0.402935   -0.657344
   -0.396089   -0.745697   -0.535771
    0.449675    0.192095   -0.872291
    0.379651    0.826235   -0.416175
    0.288492   -0.419983   -0.860457
   -0.225644   -0.581006   -0.781995
   -0.523355    0.075402   -0.848772
    0.738183    0.482234   -0.471737
    0.372750   -0.404431   -0.835160
    0.467656   -0.118283   -0.875960
    0.710217   -0.315205    0.629474
    0.667725   -0.120781   -0.734544
   -0.449159   -0.882587   -0.138915
    0.576786   -0.812277   -0.086742
    0.307067    0.045814   -0.950584
    0.692480    0.668292    0.271767
   -0.127715    0.286166   -0.949630
    0.677678   -0.567390   -0.467783
    0.551129    0.066489   -0.831767
    0.235630   -0.952375   -0.193548
    0.449588   -0.848655    0.278667
    0.025389   -0.908961   -0.416106
   -0.520379   -0.110402   -0.846768
   -0.008093   -0.672869   -0.739717
    0.679308   -0.153497   -0.717621
    0.070352   -0.896702   -0.437007
   -0.450026    0.137506   -0.882365
    0.695613   -0.413909   -0.587198
    0.723822   -0.124739   -0.678618
    0.944867   -0.308426    0.109999
    0.865386   -0.442166    0.235791
    0.494543   -0.093653   -0.864093
    0.980424    0.006003   -0.196806
    0.500383   -0.550465   -0.668285
    0.245513   -0.355751   -0.901756
   -0.494464   -0.713020   -0.497099
    0.824609    0.284529   -0.488941
    0.306001   -0.911930   -0.273401
    0.019285   -0.591249   -0.806258
    0.045911    0.602685   -0.796657
    0.073912   -0.158141   -0.984646
    0.670621   -0.128792   -0.730534
   -0.633573   -0.251596   -0.731631
   -0.011435   -0.696455   -0.717510
    0.493735   -0.841699   -0.218559
    0.276255    0.377002   -0.884055
    0.358056   -0.528819   -0.769510
    0.619509   -0.327747   -0.713296
   -0.569087   -0.820998   -0.045844
    0.389010   -0.901020   -0.191923
    0.709325   -0.496616   -0.500230
    0.491583   -0.856794   -0.155723
    0.226213   -0.301317   -0.926302
    0.275504   -0.104080   -0.955649
    0.518507   -0.740613   -0.427367
    0.762201   -0.619959   -0.186280
    0.542892   -0.473863   -0.693341
    0.633085   -0.080585   -0.769876
    0.295394   -0.027721   -0.954973
   -0.250871   -0.709028   -0.659047
    0.507345    0.571527   -0.644949
    0.514481   -0.745529    0.423670
    0.640910   -0.093470   -0.761904
   -0.830315   -0.277537   -0.483270
    0.643894    0.175323   -0.744756
    0.717619   -0.504898    0.479688
    0.419853   -0.402753   -0.813335
   -0.544366   -0.011186   -0.838773
   -0.185385   -0.931847   -0.311920
    0.451899   -0.706711   -0.544377
    0.171898   -0.432438   -0.885126
    0.101791   -0.987753   -0.118249
    0.458948   -0.707035   -0.538023
    0.219077   -0.771384   -0.597471
