 Created on  5Nov2024 at 15:15:29 
    0.246707    0.129797    0.960358
    0.471189   -0.080936   -0.878311
    0.432775   -0.300431   -0.849969
    0.390444   -0.492017    0.778121
    0.033626   -0.285859    0.957682
    0.358199   -0.000918   -0.933645
    0.488720   -0.636090   -0.597112
   -0.024604   -0.525704    0.850312
    0.825127    0.010000    0.564858
    0.327800   -0.672669   -0.663373
    0.388518   -0.316234   -0.865477
    0.620467    0.575474    0.532776
   -0.454388   -0.316357    0.832736
   -0.157209   -0.608461   -0.777856
    0.564156   -0.382380   -0.731788
    0.038209    0.469357    0.882181
   -0.464451    0.222997    0.857063
    0.252317   -0.062636   -0.965615
    0.329038   -0.146123   -0.932943
   -0.288984    0.678998    0.674870
   -0.195199   -0.467038    0.862423
   -0.218823   -0.143764   -0.965116
    0.337949   -0.406640   -0.848784
   -0.245061    0.589481    0.769713
   -0.091909   -0.048162    0.994602
    0.304458   -0.061929   -0.950510
    0.879602    0.118333   -0.460758
   -0.713373   -0.584040    0.387294
   -0.470628    0.089830    0.877747
   -0.203684    0.195183   -0.959383
   -0.343906    0.096647   -0.934017
   -0.570020    0.090244    0.816660
   -0.615119   -0.412967    0.671630
   -0.096070    0.506642   -0.856787
   -0.148957    0.476233   -0.866611
   -0.186774   -0.749570    0.635028
   -0.899534    0.193668    0.391575
    0.498625   -0.510765   -0.700351
    0.341823    0.191916   -0.919959
   -0.320817   -0.214691    0.922488
    0.210031    0.223885    0.951716
    0.420288   -0.550927   -0.720998
    0.481481   -0.045035   -0.875299
    0.026036    0.483175    0.875137
   -0.663429    0.199813    0.721066
    0.646667    0.097114   -0.756565
    0.534119   -0.282817   -0.796700
   -0.525172   -0.521172    0.672736
   -0.152186    0.368260    0.917183
    0.371520    0.439308   -0.817913
    0.236110    0.024807   -0.971410
    0.039918    0.001640    0.999202
   -0.134754    0.629917    0.764883
   -0.027169    0.260599   -0.965065
    0.100584    0.247975   -0.963531
   -0.219185    0.475699    0.851861
    0.039877    0.319043    0.946901
    0.267378    0.020543   -0.963373
    0.128214   -0.098319   -0.986861
    0.099513   -0.071113    0.992492
   -0.503847   -0.004156    0.863783
    0.567501    0.652226   -0.502537
    0.409563    0.385421   -0.826867
   -0.561926    0.076731    0.823621
    0.456227    0.224793    0.861002
   -0.247601    0.874702   -0.416642
    0.368308    0.388723   -0.844537
   -0.161280   -0.590918    0.790446
