 Created on  8Aug2024 at 16:12:33 
    0.017183   -0.769979   -0.637837
    0.774196    0.096137    0.625602
   -0.538741   -0.790002    0.292668
   -0.420949    0.828075    0.370261
   -0.770348    0.102379    0.629351
   -0.921257    0.142397   -0.361950
    0.684540    0.451423   -0.572383
   -0.623430   -0.146602    0.768012
    0.547020   -0.443808   -0.709792
   -0.678427    0.708889    0.192906
    0.853723   -0.520023   -0.027082
   -0.646696    0.720522   -0.250266
    0.828319   -0.124871   -0.546164
   -0.369168   -0.225370    0.901622
    0.928864    0.103626   -0.355630
   -0.122828   -0.977890    0.169246
    0.227976   -0.058742   -0.971893
   -0.103514   -0.017533    0.994473
    0.479878   -0.786530   -0.388699
   -0.442502    0.622396    0.645612
    0.964921    0.029616   -0.260865
   -0.801592   -0.042914    0.596329
    0.038762   -0.846540   -0.530911
   -0.605530    0.657598    0.448217
    0.821629   -0.393123    0.412771
   -0.597943    0.796745    0.087536
    0.206655    0.251440   -0.945554
   -0.533064   -0.091590    0.841103
   -0.554631    0.557673   -0.617564
   -0.909573   -0.409456    0.070879
    0.460497   -0.632961    0.622337
   -0.680527    0.546615    0.487950
   -0.263378   -0.321852   -0.909419
   -0.457541   -0.094530    0.884150
    0.292330    0.023442   -0.956030
   -0.667346   -0.497948    0.553802
   -0.444715    0.084944   -0.891635
    0.520897    0.702178    0.485400
    0.601394    0.714105   -0.358300
    0.415114   -0.252583    0.874004
    0.554327   -0.231784   -0.799373
    0.215349   -0.583564    0.782993
    0.592949   -0.156515   -0.789882
   -0.872399    0.190403    0.450186
    0.363156   -0.921833    0.135431
    0.746031    0.381558    0.545758
   -0.377650    0.903939   -0.200687
    0.174969   -0.403542    0.898076
    0.461100   -0.376228   -0.803641
   -0.335502   -0.470411    0.816182
    0.482503   -0.738195   -0.471444
   -0.360964    0.331556    0.871651
    0.015480    0.322286   -0.946516
   -0.278233    0.584319    0.762337
    0.100742   -0.508256   -0.855293
    0.491511    0.703416    0.513442
   -0.393790    0.180542   -0.901296
   -0.837661   -0.539140   -0.087476
    0.462745   -0.056812   -0.884669
   -0.695026    0.362640    0.620831
   -0.942634    0.137115   -0.304368
    0.759850   -0.417894    0.497988
   -0.436732   -0.475159   -0.763864
   -0.312223    0.658126    0.685118
    0.932038    0.069634   -0.355607
   -0.946202    0.307199   -0.101634
    0.670297    0.541910   -0.506987
   -0.326634   -0.620742    0.712734
   -0.743356    0.274130   -0.610143
   -0.361860   -0.519126    0.774316
    0.468726    0.034171   -0.882682
    0.079923    0.656605    0.749988
   -0.724506   -0.118622   -0.678985
    0.564468   -0.464432    0.682407
   -0.318152    0.484232   -0.815045
    0.271784   -0.633453    0.724480
    0.731111    0.060686   -0.679555
    0.147259    0.873152    0.464672
    0.671821   -0.437441   -0.597747
   -0.600522    0.150292    0.785357
    0.625647   -0.771043   -0.118571
   -0.315676    0.666554    0.675318
    0.439950   -0.608479   -0.660452
    0.492617   -0.616671    0.614040
    0.988469    0.128517   -0.080080
   -0.458576    0.325637    0.826842
   -0.519785   -0.026904   -0.853873
   -0.023447    0.632270    0.774393
   -0.123053    0.920349   -0.371235
    0.611677   -0.746116    0.262988
   -0.464574   -0.503599    0.728395
    0.396306    0.155101    0.904923
    0.979832    0.002212    0.199812
   -0.954465    0.118001    0.273992
    0.529162   -0.249213   -0.811098
   -0.153320   -0.344762    0.926084
    0.371534   -0.889797    0.264998
    0.500521   -0.086756    0.861367
   -0.019822    0.190810   -0.981427
   -0.401565   -0.011822    0.915754
   -0.214786   -0.072761   -0.973947
   -0.894204   -0.175113    0.411990
   -0.610487   -0.174226   -0.772626
    0.072740    0.497162    0.864603
    0.494117   -0.361113   -0.790851
   -0.086488    0.303639    0.948854
   -0.354342    0.055826   -0.933448
    0.545844    0.452814    0.704992
    0.209738    0.041456   -0.976878
   -0.778329    0.066764    0.624296
    0.759710    0.474401   -0.444730
   -0.120461   -0.204061    0.971519
    0.743568   -0.612151    0.269030
    0.418965    0.051549    0.906538
    0.978297    0.195483    0.068710
   -0.969196   -0.240996   -0.050805
    0.147386   -0.809207   -0.568736
   -0.287454    0.145290    0.946711
    0.350407    0.782259   -0.515058
    0.671082   -0.714656    0.197271
    0.304821    0.402563   -0.863150
    0.043623    0.390530   -0.919556
    0.578673    0.166190   -0.798447
    0.198570   -0.772985    0.602548
    0.326547   -0.363661   -0.872420
    0.393591   -0.311781    0.864800
    0.762724   -0.220316   -0.608040
    0.234008   -0.234949    0.943419
    0.148368   -0.077064   -0.985925
    0.722645    0.103748    0.683389
    0.566349    0.801464   -0.192104
    0.236736    0.775508    0.585273
    0.266035   -0.089390   -0.959810
   -0.183651   -0.972928   -0.140299
    0.914955   -0.261689   -0.307208
   -0.880324    0.219351   -0.420611
   -0.087509   -0.396871   -0.913693
    0.092019   -0.299533    0.949638
    0.565288    0.486684    0.666024
   -0.801651   -0.492222    0.339226
    0.932866   -0.347070   -0.096459
   -0.964668   -0.211813    0.156687
    0.843144    0.409009   -0.349027
   -0.432064   -0.859368    0.273509
    0.362834   -0.498206   -0.787491
   -0.602329    0.287676    0.744608
    0.868054   -0.484497   -0.108374
   -0.669127    0.227728    0.707396
    0.831345   -0.504436   -0.233262
   -0.269938    0.962411   -0.029981
    0.733409    0.542735   -0.409329
   -0.199662   -0.428652    0.881132
    0.656096    0.501539   -0.563912
   -0.146510   -0.988167    0.045400
    0.005964    0.965999   -0.258478
   -0.900735   -0.338986    0.271597
   -0.414411    0.887500   -0.201514
   -0.370399   -0.865932    0.336103
   -0.136130   -0.496453   -0.857323
    0.036634   -0.994609   -0.097007
    0.820251   -0.302419   -0.485522
   -0.129398   -0.604257    0.786212
   -0.207860    0.365447   -0.907327
   -0.286578   -0.810879    0.510244
   -0.355868   -0.594834   -0.720785
   -0.545675   -0.183570    0.817643
   -0.233693   -0.855821   -0.461473
    0.549505    0.161847    0.819664
   -0.261478   -0.009557   -0.965162
    0.061431    0.266707    0.961818
    0.855598   -0.411256   -0.314358
   -0.791211    0.270163    0.548632
   -0.063835   -0.477411   -0.876358
   -0.950600   -0.190410    0.245161
   -0.087964   -0.652491   -0.752674
    0.850904    0.524747   -0.024564
    0.437454   -0.199665   -0.876794
   -0.571192    0.641073    0.512606
    0.079928    0.156914   -0.984373
    0.847426    0.445149   -0.289330
    0.592329   -0.422886   -0.685794
   -0.470178    0.107455    0.876006
   -0.149967   -0.575821   -0.803704
   -0.498009   -0.146432    0.854719
   -0.208314   -0.750349   -0.627361
   -0.382453    0.150314    0.911666
   -0.791898   -0.332762    0.512022
    0.183337    0.333506    0.924749
   -0.310372   -0.149671   -0.938759
   -0.732100    0.045655    0.679666
    0.487798    0.872956    0.000500
   -0.633305   -0.738769    0.230533
    0.271187   -0.814630   -0.512675
   -0.328445    0.891993    0.310601
    0.262386   -0.215280   -0.940642
    0.198138    0.904813    0.376902
    0.689738   -0.364110   -0.625848
   -0.607966    0.660488    0.440606
    0.291067   -0.380767   -0.877665
   -0.419340    0.262256    0.869124
    0.857498   -0.506879   -0.088148
    0.001780    0.644081   -0.764955
    0.890817   -0.443230   -0.099960
   -0.559504    0.770091   -0.306457
    0.607796   -0.453572   -0.651810
   -0.988289   -0.098168    0.116824
    0.630840    0.426646   -0.648085
   -0.953520   -0.066900    0.293811
   -0.302421   -0.144668   -0.942132
   -0.367234   -0.255033    0.894482
   -0.706799   -0.680755   -0.192374
    0.185839    0.935324    0.301053
   -0.585296   -0.525120   -0.617801
    0.167933    0.315065    0.934095
    0.835770    0.348346   -0.424433
   -0.016797    0.445456    0.895146
    0.451691    0.337241   -0.825981
   -0.876928    0.014586    0.480400
    0.943412    0.269855   -0.192746
   -0.878340    0.477750    0.016530
    0.688846    0.717242    0.105146
   -0.009441    0.477595   -0.878529
   -0.177752   -0.384398   -0.905893
   -0.392413    0.461922    0.795387
    0.287384   -0.552576   -0.782349
   -0.083343    0.746764    0.659846
    0.589120    0.690237    0.420132
   -0.978303   -0.206924    0.010293
    0.895662    0.285114   -0.341321
   -0.807949    0.452473    0.377472
    0.815261    0.027804   -0.578425
   -0.881086    0.081852    0.465819
    0.592073    0.761132   -0.264815
   -0.346391   -0.913321    0.214144
    0.514854    0.132741   -0.846939
   -0.906649   -0.268759    0.325201
   -0.035216   -0.836783   -0.546401
    0.219613    0.265582    0.938742
    0.100852   -0.407826   -0.907473
   -0.739214    0.400655    0.541329
    0.787920   -0.222407    0.574210
   -0.623327    0.196087    0.756977
    0.420414   -0.755336    0.502711
   -0.674423   -0.190639   -0.713310
    0.677028   -0.192583    0.710313
   -0.341860    0.939238   -0.031056
    0.612063   -0.723320   -0.319667
    0.206786   -0.675335    0.707928
    0.570511   -0.101801   -0.814956
   -0.806779   -0.185070   -0.561121
    0.915420    0.125341   -0.382487
   -0.384814    0.566237    0.728899
   -0.649097    0.339911   -0.680539
