 Created on 16Sep2024 at 00:18:47 
  2000   100
    1.000000
   -0.131783   -0.980884   -0.143175
   -0.092613   -0.936430   -0.338410
   -0.116397   -0.968912   -0.218313
   -0.117268   -0.948018   -0.295821
   -0.394901   -0.902111   -0.173924
   -0.467000   -0.841305   -0.272245
   -0.350359   -0.932790   -0.084572
   -0.264657   -0.869573   -0.416892
   -0.164884   -0.964425   -0.206634
   -0.098769   -0.972244   -0.212099
   -0.479569   -0.830052   -0.284653
   -0.397148   -0.881675   -0.254800
   -0.472917   -0.825228   -0.308785
   -0.189613   -0.977747   -0.089760
   -0.083040   -0.986516   -0.141035
   -0.268235   -0.958501   -0.096568
    0.255640   -0.955642   -0.146275
   -0.168797   -0.943658   -0.284634
   -0.264700   -0.837471   -0.478097
   -0.085286   -0.970984   -0.223420
    0.069489   -0.962545   -0.262065
   -0.015576   -0.976378   -0.215509
    0.050300   -0.965897   -0.253993
   -0.081134   -0.939509   -0.332777
    0.072370   -0.938504   -0.337598
    0.095151   -0.981722   -0.164827
   -0.174952   -0.983341   -0.049317
   -0.162995   -0.922027   -0.351139
   -0.135871   -0.892041   -0.431047
   -0.156482   -0.872056   -0.463714
    0.016156   -0.857315   -0.514539
   -0.428270   -0.832837   -0.350667
    0.048284   -0.958593   -0.280655
   -0.201756   -0.919461   -0.337470
   -0.031824   -0.846952   -0.530716
   -0.027969   -0.859786   -0.509887
    0.008846   -0.961397   -0.275023
    0.178701   -0.960246   -0.214460
    0.180006   -0.973312   -0.142345
   -0.014058   -0.924784   -0.380233
   -0.082323   -0.956760   -0.278985
   -0.122000   -0.937296   -0.326486
    0.118443   -0.965745   -0.230886
    0.088367   -0.994796   -0.050723
   -0.457238   -0.879882   -0.129385
   -0.134010   -0.977062   -0.165500
   -0.339969   -0.926622   -0.160603
   -0.342369   -0.827367   -0.445249
   -0.392005   -0.831572   -0.393472
   -0.352633   -0.761836   -0.543375
   -0.142956   -0.790417   -0.595655
   -0.015963   -0.983339   -0.181080
   -0.210551   -0.911980   -0.352081
   -0.269474   -0.929698   -0.251086
   -0.453752   -0.782113   -0.427092
    0.115453   -0.896986   -0.426716
   -0.269273   -0.896106   -0.352826
    0.071740   -0.958763   -0.275004
   -0.036358   -0.959580   -0.279077
   -0.009967   -0.854919   -0.518666
   -0.293394   -0.940537   -0.171202
   -0.050481   -0.911478   -0.408239
   -0.321151   -0.915516   -0.242267
   -0.421110   -0.901860   -0.096520
   -0.325747   -0.859208   -0.394527
   -0.105216   -0.967982   -0.227904
   -0.250674   -0.901494   -0.352803
   -0.421219   -0.878883   -0.223918
   -0.342830   -0.921997   -0.179968
   -0.262141   -0.829900   -0.492492
   -0.192173   -0.872869   -0.448518
   -0.044583   -0.876940   -0.478527
   -0.546760   -0.751108   -0.369988
   -0.318929   -0.922248   -0.218502
   -0.039354   -0.965715   -0.256604
   -0.171234   -0.911980   -0.372789
   -0.358635   -0.912917   -0.194841
   -0.332400   -0.779564   -0.530839
   -0.098641   -0.970498   -0.220010
   -0.219911   -0.960747   -0.169128
   -0.265936   -0.859575   -0.436359
   -0.301593   -0.949779   -0.083433
   -0.307393   -0.926660   -0.216360
   -0.298999   -0.935631   -0.187602
   -0.338007   -0.929013   -0.150617
   -0.467639   -0.853276   -0.230726
   -0.117843   -0.952756   -0.279944
   -0.289062   -0.955685   -0.055758
   -0.360837   -0.911812   -0.195948
   -0.313911   -0.948575    0.040812
   -0.163787   -0.985702   -0.039571
   -0.432227   -0.866552   -0.249535
   -0.304580   -0.891874   -0.334354
   -0.109243   -0.933826   -0.340638
   -0.325690   -0.874750   -0.358802
   -0.309259   -0.901335   -0.303238
   -0.275270   -0.918392   -0.284224
   -0.271053   -0.961683   -0.041196
   -0.257843   -0.844241   -0.469865
   -0.306206   -0.858370   -0.411629
    0.053828   -0.976357   -0.209357
   -0.057832   -0.998289   -0.008605
   -0.176107   -0.884024   -0.432999
    0.021440   -0.989416   -0.143515
   -0.212182   -0.914084   -0.345584
   -0.199231   -0.906527   -0.372177
   -0.063923   -0.907637   -0.414859
   -0.249368   -0.943316   -0.219023
   -0.055564   -0.938667   -0.340318
   -0.460203   -0.882810   -0.094127
   -0.360986   -0.914725   -0.181566
   -0.254798   -0.934727   -0.247716
    0.123297   -0.938592   -0.322248
   -0.264418   -0.890672   -0.369848
   -0.104616   -0.898094   -0.427179
   -0.454939   -0.798519   -0.394205
   -0.319819   -0.925037   -0.204994
   -0.495160   -0.782881   -0.376714
   -0.288440   -0.955892   -0.055427
   -0.200531   -0.927232   -0.316273
   -0.082953   -0.946020   -0.313313
   -0.335066   -0.908207   -0.250782
   -0.089841   -0.968685   -0.231467
   -0.072215   -0.906832   -0.415260
   -0.080730   -0.952344   -0.294148
   -0.069171   -0.818573   -0.570222
   -0.071681   -0.997101   -0.025517
    0.138010   -0.932134   -0.334782
    0.057006   -0.974586   -0.216641
   -0.033678   -0.918246   -0.394575
    0.056313   -0.964911   -0.256469
    0.142004   -0.961449   -0.235479
   -0.232011   -0.972302    0.028285
   -0.085577   -0.970597   -0.224984
    0.042970   -0.832224   -0.552772
   -0.053552   -0.861722   -0.504546
   -0.259442   -0.918763   -0.297597
   -0.195561   -0.912155   -0.360180
   -0.252720   -0.800630   -0.543254
   -0.180172   -0.810233   -0.557728
    0.025973   -0.952853   -0.302318
   -0.154747   -0.918457   -0.363992
   -0.056335   -0.983935   -0.169407
   -0.361644   -0.910039   -0.202591
   -0.414381   -0.866097   -0.279580
   -0.014082   -0.932271   -0.361486
   -0.400597   -0.887664   -0.227101
   -0.100766   -0.979229   -0.175947
   -0.197550   -0.980292   -0.001098
   -0.139696   -0.958325   -0.249195
   -0.367733   -0.888919   -0.273122
   -0.212798   -0.937774   -0.274405
   -0.248922   -0.961158   -0.119220
   -0.073578   -0.986203   -0.148291
   -0.475559   -0.824270   -0.307283
   -0.269983   -0.955038   -0.122524
   -0.360020   -0.754291   -0.549027
   -0.265938   -0.930495   -0.251906
   -0.239926   -0.921493   -0.305429
    0.181913   -0.803052   -0.567464
   -0.251724   -0.900314   -0.355064
   -0.055286   -0.944137   -0.324882
   -0.480288   -0.739784   -0.471215
   -0.081442   -0.957811   -0.275618
    0.059966   -0.852684   -0.518974
   -0.031486   -0.974847   -0.220641
   -0.175322   -0.931294   -0.319302
   -0.186271   -0.937361   -0.294375
   -0.146726   -0.982907    0.111200
   -0.469536   -0.881984    0.040490
   -0.183378   -0.979818   -0.079555
   -0.325755   -0.912661   -0.246846
   -0.247177   -0.932027   -0.265007
   -0.107517   -0.988667    0.104777
   -0.551209   -0.827663    0.105560
   -0.313747   -0.927938   -0.201229
   -0.269927   -0.828908   -0.489950
   -0.237856   -0.893743   -0.380327
   -0.304665   -0.927008   -0.218712
   -0.130775   -0.960544   -0.245467
   -0.043090   -0.989297   -0.139407
   -0.154518   -0.930948   -0.330847
   -0.080211   -0.986369   -0.143675
   -0.351801   -0.930096   -0.105625
    0.031907   -0.998150   -0.051759
   -0.025697   -0.998601   -0.046224
   -0.270364   -0.901697   -0.337410
   -0.079235   -0.943743   -0.321046
   -0.381587   -0.872616   -0.304850
   -0.434167   -0.885847   -0.163626
   -0.139015   -0.889935   -0.434384
   -0.322798   -0.920987   -0.218140
   -0.437095   -0.896570   -0.071479
   -0.560764   -0.789451   -0.249620
   -0.299147   -0.895348   -0.329945
   -0.298023   -0.812616   -0.500836
   -0.039880   -0.952674   -0.301367
   -0.307628   -0.917419   -0.252402
   -0.304037   -0.952048   -0.034158
    0.114003   -0.989658   -0.087065
    0.063207    0.959985    0.272826
   -0.086682    0.978325    0.188060
    0.097755    0.952335    0.288967
    0.315565    0.891990    0.323685
    0.040025    0.980127    0.194290
    0.284858    0.956272    0.066333
    0.013940    0.914675    0.403950
    0.084567    0.988707    0.123720
    0.086804    0.928726    0.360461
    0.278766    0.896560    0.344193
    0.443489    0.792912    0.417862
    0.313246    0.890345    0.330397
    0.280988    0.886638    0.367313
    0.058093    0.997842    0.030611
    0.083773    0.901814    0.423926
   -0.170066    0.956381    0.237516
   -0.254696    0.923593    0.286542
    0.118998    0.886618    0.446931
   -0.078991    0.950418    0.300775
    0.216842    0.957092    0.192237
    0.063885    0.947088    0.314551
    0.084598    0.947306    0.308958
   -0.071307    0.977264    0.199678
   -0.157106    0.882147    0.443999
    0.192704    0.963921    0.183632
    0.211995    0.975851   -0.052652
    0.299471    0.823086    0.482542
    0.168412    0.820685    0.545997
    0.248924    0.860608    0.444286
   -0.017341    0.835569    0.549111
   -0.020210    0.961867    0.272770
   -0.047083    0.974764    0.218215
    0.339072    0.888559    0.309019
    0.020139    0.920175    0.390989
   -0.030248    0.894283    0.446478
    0.071923    0.964081    0.255684
   -0.086496    0.930320    0.356402
   -0.151968    0.965872    0.209753
   -0.063706    0.905934    0.418600
    0.062533    0.974594    0.215072
    0.194473    0.928254    0.317055
   -0.049708    0.990593    0.127496
    0.444599    0.846600    0.292575
    0.314029    0.926380    0.207859
    0.208090    0.942604    0.261145
    0.214095    0.944978    0.247346
    0.363128    0.911531    0.193002
    0.420315    0.837623    0.348887
    0.360081    0.861138    0.358864
    0.138448    0.806899    0.574236
    0.029005    0.906232    0.421785
    0.120156    0.975135    0.186211
    0.300691    0.911661    0.280107
    0.460459    0.794555    0.395804
    0.177885    0.911881    0.369906
    0.220640    0.908611    0.354603
    0.368376    0.853595    0.368341
    0.065167    0.841678    0.536034
    0.289076    0.948276    0.131183
    0.277391    0.923398    0.265313
    0.232187    0.972671   -0.000661
    0.372248    0.885240    0.278895
    0.186328    0.979094    0.081589
    0.261897    0.955524    0.135587
    0.459770    0.859566    0.223065
    0.308718    0.891046    0.332763
    0.283435    0.958646   -0.025736
    0.298910    0.949148    0.098847
    0.156459    0.987684   -0.000615
    0.157457    0.901616    0.402859
    0.312300    0.925015    0.216369
    0.568544    0.782646    0.253423
    0.107535    0.974204    0.198402
    0.246053    0.931566    0.267660
    0.353771    0.905180    0.235575
    0.292709    0.911183    0.289942
    0.264628    0.948958    0.171610
    0.091579    0.943322    0.318992
    0.211813    0.933571    0.289104
    0.207070    0.976279    0.063263
    0.311712    0.944905   -0.099953
    0.402528    0.875992    0.265724
   -0.063030    0.983235    0.171100
    0.281641    0.953774    0.104854
    0.136156    0.949560    0.282486
   -0.001453    0.986403    0.164339
    0.223704    0.941359    0.252587
    0.349490    0.888903    0.296157
    0.259338    0.934133    0.245235
    0.090564    0.993680    0.066324
    0.161114    0.959715    0.230193
    0.373800    0.886633    0.272315
    0.200754    0.906618    0.371135
    0.410605    0.838389    0.358479
    0.567076    0.759947    0.317656
    0.326018    0.865348    0.380638
    0.500366    0.741783    0.446533
    0.194189    0.902833    0.383646
    0.170276    0.966553    0.191784
    0.302286    0.916419    0.262297
    0.367967    0.887044    0.278841
    0.251288    0.827798    0.501603
    0.199687    0.898538    0.390839
    0.211680    0.941109    0.263639
    0.086756    0.880878    0.465326
   -0.035579    0.918591    0.393605
   -0.162575    0.926118    0.340404
   -0.103788    0.921112    0.375206
    0.124817    0.917999    0.376428
    0.306443    0.943462    0.126382
   -0.123869    0.989964    0.068025
    0.293093    0.923076    0.249053
    0.205145    0.965111    0.162714
    0.155366    0.923504    0.350718
    0.144641    0.842845    0.518354
    0.324222    0.941541    0.091551
    0.070695    0.929434    0.362152
    0.345689    0.935170    0.077180
    0.297113    0.839997    0.454014
    0.090288    0.934815    0.343467
    0.048629    0.868242    0.493753
    0.132868    0.924901    0.356237
    0.261271    0.941973    0.210771
    0.082970    0.936269    0.341345
    0.164570    0.982645    0.085588
   -0.050632    0.992095    0.114821
   -0.035502    0.987292    0.154903
   -0.000856    0.948772    0.315960
    0.091602    0.945059    0.313803
   -0.094816    0.967007    0.236446
    0.220005    0.890777    0.397636
    0.339271    0.936405   -0.089678
    0.179260    0.983306    0.031240
    0.161388    0.785006    0.598097
    0.281843    0.950526    0.130635
    0.178571    0.837472    0.516482
    0.317542    0.924580    0.210521
    0.247907    0.807590    0.535108
   -0.143799    0.821915    0.551161
    0.110076    0.912248    0.394571
    0.126788    0.973049    0.192615
    0.199014    0.929336    0.311012
    0.095416    0.968911    0.228271
    0.300252    0.906239    0.297624
   -0.006235    0.923654    0.383177
    0.270233    0.935055    0.229449
    0.214322    0.875535    0.433018
    0.178579    0.983125   -0.039689
    0.443976    0.869003   -0.218448
    0.350389    0.892942    0.282634
    0.166453    0.949864    0.264672
    0.318952    0.946987    0.038545
    0.183760    0.982523   -0.029685
    0.317057    0.942525    0.105459
    0.163620    0.984049    0.069830
    0.254988    0.839744    0.479385
    0.241822    0.888262    0.390530
    0.126522    0.959052    0.253401
    0.125530    0.924578    0.359719
    0.071446    0.974227    0.213956
    0.104502    0.938043    0.330385
    0.559103    0.732851    0.387727
    0.241855    0.970253   -0.010711
   -0.062778    0.878920    0.472819
    0.101685    0.988519    0.111764
    0.175460    0.910901    0.373461
    0.305939    0.901355    0.306530
    0.370630    0.918357   -0.138757
    0.334205    0.910808    0.242355
    0.265977    0.960457    0.082335
    0.205639    0.944847    0.254904
    0.029000    0.937272    0.347392
    0.462653    0.775359    0.429851
    0.557602    0.826942   -0.072440
    0.081327    0.902143    0.423702
    0.319476    0.822174    0.471132
    0.323468    0.919446    0.223579
    0.350996    0.918054    0.184332
   -0.070656    0.970121    0.232106
    0.205097    0.900975    0.382334
    0.170154    0.913479    0.369599
    0.193866    0.976665    0.092418
    0.184405    0.977307    0.104241
    0.063362    0.990576    0.121424
    0.382796    0.869736    0.311490
    0.132641    0.896273    0.423204
    0.415649    0.808389    0.416825
    0.350616    0.901164    0.254894
    0.118318    0.975103    0.187548
    0.279341    0.922155    0.267580
    0.392986    0.899043    0.193090
    0.473724    0.880634   -0.008257
    0.148571    0.988647   -0.022439
    0.259377    0.927373    0.269633
    0.174958    0.929144    0.325702
    0.093367    0.879558    0.466541
    0.243015    0.890753    0.384060
    0.223677    0.967051    0.121576
    0.121075    0.970285    0.209496
    0.071737    0.980619    0.182318
    0.011202   -0.971834   -0.235400
   -0.065516   -0.922481   -0.380442
    0.048886   -0.971080   -0.233698
    0.065182   -0.964975   -0.254114
   -0.386565   -0.908537    0.158519
    0.051926   -0.947171   -0.316496
   -0.314434   -0.870763   -0.378024
   -0.225137   -0.919410   -0.322487
    0.106875   -0.839361   -0.532965
   -0.403048   -0.823613   -0.399015
   -0.085319   -0.943445   -0.320361
   -0.275268   -0.870045   -0.408960
   -0.076326   -0.938487   -0.336775
   -0.044923   -0.964264   -0.261108
   -0.150872   -0.950631   -0.271181
    0.246045   -0.940186   -0.235612
    0.035288   -0.949078   -0.313060
    0.241673   -0.949480   -0.200204
   -0.112309   -0.979952   -0.164559
    0.099949   -0.948946   -0.299184
   -0.063524   -0.991602   -0.112655
   -0.043333   -0.997938    0.047352
   -0.313189   -0.924443   -0.217527
   -0.307904   -0.938111   -0.158564
   -0.271747   -0.915788   -0.295780
   -0.349016   -0.872264   -0.342554
   -0.238970   -0.858208   -0.454282
   -0.243353   -0.795286   -0.555247
   -0.173312   -0.894839   -0.411372
   -0.010316   -0.961323   -0.275232
   -0.088517   -0.977790   -0.189975
   -0.394212   -0.804164   -0.444878
   -0.415584   -0.811646   -0.410512
    0.023085   -0.945529   -0.324718
   -0.185632   -0.935192   -0.301590
   -0.016020   -0.979918   -0.198758
   -0.060482   -0.899892   -0.431900
    0.047139   -0.910139   -0.411613
   -0.351812   -0.898456   -0.262689
    0.053195   -0.936704   -0.346058
   -0.389948   -0.909241   -0.145675
   -0.488390   -0.846101   -0.213514
   -0.167291   -0.974496   -0.149569
   -0.182623   -0.911381   -0.368827
   -0.321338   -0.874806   -0.362570
   -0.214522   -0.940043   -0.265141
   -0.212244   -0.965062   -0.153645
   -0.349513   -0.908686   -0.228321
   -0.227506   -0.901522   -0.368101
   -0.106554   -0.909563   -0.401673
   -0.549853   -0.718828   -0.425380
   -0.212511   -0.973382   -0.085828
   -0.320317   -0.828896   -0.458616
   -0.021015   -0.916322   -0.399890
   -0.099745   -0.936336   -0.336639
   -0.224499   -0.942788   -0.246479
   -0.184872   -0.900545   -0.393499
