 Created on  6Dec2024 at 16:52:30 
   -0.097228    0.411222    0.906335
    0.249101    0.141328    0.958110
    0.466503   -0.228000    0.854629
    0.196723   -0.008909    0.980419
    0.148460   -0.301570   -0.941815
   -0.034710    0.571965   -0.819543
    0.165195   -0.077872    0.983182
   -0.426374   -0.320155   -0.845994
   -0.196423    0.144025    0.969884
   -0.000555   -0.147503    0.989061
   -0.284055   -0.097770    0.953810
   -0.035056   -0.225364   -0.973644
    0.376259   -0.403136   -0.834213
    0.523133    0.379283   -0.763202
    0.295025    0.042124   -0.954561
    0.333433   -0.463784   -0.820809
    0.169481    0.005699   -0.985517
   -0.165635    0.214177    0.962649
    0.080674    0.062582   -0.994774
   -0.085254   -0.023048    0.996093
   -0.197207    0.065594    0.978165
    0.065654   -0.476797   -0.876558
    0.545559   -0.163227    0.822023
    0.094598    0.165025    0.981742
   -0.258279   -0.087928   -0.962061
    0.296910   -0.145302   -0.943786
    0.250659    0.112730   -0.961489
    0.802476    0.361169   -0.474962
   -0.505225   -0.324296    0.799737
    0.398989   -0.269131    0.876571
   -0.044388    0.230651    0.972024
   -0.586956   -0.688608    0.425795
    0.145903    0.144868    0.978634
   -0.067054   -0.471478   -0.879325
   -0.064245    0.328435   -0.942339
   -0.111646    0.328268   -0.937963
   -0.215221    0.251700    0.943571
    0.283872    0.136474   -0.949100
    0.029084   -0.141190   -0.989555
    0.067683    0.203295    0.976775
   -0.068042   -0.321776   -0.944368
   -0.529136   -0.225246    0.818095
    0.491790   -0.155405    0.856733
   -0.104474   -0.278731   -0.954670
    0.430625   -0.424284    0.796584
    0.331443   -0.726931    0.601429
    0.160185    0.127902   -0.978766
    0.318807   -0.059630   -0.945942
   -0.254458    0.356196    0.899097
    0.037678   -0.050529   -0.998012
   -0.381081    0.156466    0.911206
   -0.041290   -0.155578    0.986960
   -0.000018    0.059528    0.998227
    0.461983   -0.046547   -0.885666
   -0.017917    0.153969   -0.987913
   -0.120207    0.363737   -0.923713
   -0.114633    0.112486   -0.987019
    0.130004    0.227964   -0.964951
    0.331100    0.039337    0.942775
   -0.193417   -0.295862    0.935444
   -0.519779    0.339883   -0.783779
    0.262554   -0.031022   -0.964419
   -0.206243    0.174654   -0.962787
    0.222955    0.014853   -0.974716
   -0.213515   -0.260045    0.941694
    0.200858   -0.116064    0.972720
   -0.209249   -0.121753    0.970253
   -0.083956   -0.639632    0.764083
    0.607534   -0.145000    0.780947
    0.095331    0.251870   -0.963054
   -0.092570   -0.085641   -0.992016
   -0.324375   -0.243721   -0.913992
    0.418389    0.082520    0.904511
   -0.425500    0.160763   -0.890565
   -0.165127    0.149614   -0.974858
    0.428105    0.104752    0.897637
    0.069547    0.073212    0.994889
   -0.141814    0.318905   -0.937117
   -0.173782    0.328509    0.928376
    0.101340   -0.051506    0.993518
   -0.160272    0.078583    0.983940
   -0.094160    0.047717    0.994413
    0.030134    0.048006   -0.998392
   -0.455872   -0.176518   -0.872366
    0.380903    0.152643    0.911928
   -0.072209    0.197270   -0.977686
    0.052058   -0.139052    0.988916
   -0.043904   -0.112531    0.992678
   -0.730817    0.091156    0.676459
    0.099826   -0.169028   -0.980543
   -0.084901    0.785216   -0.613374
   -0.569127   -0.004620   -0.822236
    0.271901    0.226892   -0.935195
    0.175754   -0.039089   -0.983658
    0.043895   -0.258934    0.964897
   -0.446718    0.037130    0.893904
    0.273753   -0.564991   -0.778360
    0.198457    0.028402    0.979698
   -0.012719    0.367470    0.929948
    0.067518    0.041128   -0.996870
    0.504921   -0.305525    0.807285
    0.258556    0.076424    0.962968
   -0.231974    0.434378    0.870347
   -0.021356   -0.365258    0.930661
   -0.324078    0.106319    0.940037
    0.037613    0.167487   -0.985156
    0.320436    0.243197   -0.915520
   -0.057907    0.135280   -0.989114
   -0.047525    0.401126    0.914789
   -0.424079   -0.339406   -0.839619
   -0.140397    0.330532   -0.933294
   -0.026903    0.007559    0.999609
    0.099402    0.290269    0.951768
    0.000209    0.562529   -0.826778
   -0.177250    0.345722    0.921444
   -0.078332    0.023881    0.996641
    0.100272    0.034265   -0.994370
   -0.419516    0.745883   -0.517363
   -0.426436   -0.050231   -0.903122
   -0.084668   -0.041864   -0.995529
   -0.014344   -0.239261    0.970849
   -0.516418   -0.093980   -0.851164
   -0.238974    0.082594    0.967507
   -0.027594    0.563427    0.825705
   -0.327324    0.139658    0.934534
    0.213533   -0.123475   -0.969101
   -0.410892    0.179966   -0.893745
   -0.089793    0.452480   -0.887243
    0.252808   -0.204957   -0.945558
    0.295702   -0.363325   -0.883490
    0.235732    0.081867    0.968364
   -0.513876    0.156381    0.843491
    0.283373   -0.020265   -0.958796
    0.325055    0.202600    0.923738
   -0.278793   -0.047576    0.959172
   -0.021830   -0.055554   -0.998217
    0.043519    0.323151    0.945346
    0.106455   -0.249517    0.962501
   -0.577826   -0.125535   -0.806448
    0.438829    0.049004   -0.897233
   -0.483162    0.069786    0.872745
    0.048837   -0.261727   -0.963906
    0.261647   -0.093860   -0.960589
   -0.037699    0.403685   -0.914121
    0.507129    0.127639    0.852367
   -0.024505   -0.330273   -0.943567
    0.177014    0.092147   -0.979885
   -0.470620    0.524473    0.709539
   -0.187440    0.374272    0.908178
   -0.987890   -0.105501    0.113763
   -0.072837    0.106418    0.991650
   -0.098741    0.128610    0.986767
    0.327487   -0.130523   -0.935797
    0.490099   -0.011406   -0.871592
   -0.619573    0.545737   -0.564181
    0.647026    0.660300   -0.381263
    0.044934   -0.057973    0.997306
   -0.024811   -0.560671    0.827667
    0.397600   -0.187728    0.898149
    0.002039   -0.091263    0.995825
   -0.043233    0.955672    0.291244
   -0.267180    0.011499   -0.963578
   -0.211182   -0.064975   -0.975285
    0.197686   -0.067805   -0.977918
   -0.086186    0.377524   -0.921980
   -0.299435    0.099468   -0.948918
    0.249777   -0.206623    0.946001
   -0.122362   -0.178479    0.976306
    0.071096   -0.017589   -0.997314
   -0.121968    0.063739    0.990485
    0.115684    0.002931    0.993282
    0.012894    0.007608   -0.999888
   -0.442288    0.053296    0.895288
    0.314188   -0.100564    0.944019
   -0.298957    0.305926   -0.903899
   -0.244784    0.270426   -0.931102
    0.285767   -0.080330    0.954926
    0.395563    0.272969   -0.876937
   -0.404604   -0.204880    0.891246
    0.005771   -0.614962    0.788535
    0.110189    0.313040    0.943326
    0.348759    0.397568   -0.848709
   -0.330537    0.133843   -0.934254
    0.200274   -0.607808    0.768414
    0.037710   -0.340677    0.939424
   -0.301475    0.697348   -0.650245
   -0.343223   -0.108269    0.932993
    0.417408   -0.173861    0.891932
   -0.444366    0.457365   -0.770296
   -0.170269   -0.123622   -0.977612
   -0.064973   -0.079113   -0.994746
    0.144902   -0.219352   -0.964826
   -0.506335    0.093853    0.857214
    0.024077   -0.241910    0.970000
    0.103621    0.025632    0.994287
   -0.277435   -0.011096    0.960680
   -0.253913   -0.414778    0.873778
    0.514700    0.395661   -0.760615
   -0.150248    0.203348   -0.967510
   -0.168469    0.253100   -0.952659
    0.234605   -0.193790   -0.952579
   -0.402314   -0.425205   -0.810768
   -0.226999    0.587617    0.776645
   -0.298071    0.347137    0.889185
    0.409624    0.509863   -0.756471
   -0.110963   -0.602831    0.790115
    0.008924    0.232339    0.972594
    0.518130    0.186344   -0.834756
   -0.120839   -0.003060    0.992667
   -0.427985   -0.487586    0.760979
   -0.385285   -0.675106   -0.629117
   -0.038364    0.477277   -0.877915
    0.307717   -0.077919    0.948282
    0.566953   -0.184040   -0.802928
   -0.315744    0.073026    0.946030
    0.060211   -0.094840    0.993670
   -0.036860    0.162445    0.986029
    0.472549   -0.221695   -0.852965
    0.065734    0.402952   -0.912857
    0.378177    0.167332   -0.910484
    0.169127    0.084937   -0.981927
   -0.521003   -0.245522   -0.817481
    0.168323    0.089861   -0.981627
   -0.146739    0.307816    0.940062
   -0.130396    0.093865   -0.987009
   -0.160002   -0.347140    0.924064
   -0.180285    0.251341    0.950960
   -0.039303    0.027104    0.998860
   -0.447174    0.368587   -0.814972
    0.132920   -0.097848    0.986285
    0.397098    0.480793   -0.781762
   -0.135208   -0.296140   -0.945526
    0.476891   -0.419331    0.772487
    0.030821    0.338627    0.940416
    0.223582    0.060320   -0.972817
   -0.310840   -0.051538    0.949064
    0.425353   -0.083997    0.901121
    0.130718    0.358508   -0.924329
   -0.162655   -0.095041   -0.982095
    0.127005    0.061347    0.990003
   -0.115087   -0.495204    0.861120
    0.172942    0.338763    0.924841
   -0.407283   -0.062019    0.911194
   -0.572476   -0.036308   -0.819117
    0.425604    0.312692   -0.849167
    0.029500    0.166370   -0.985622
    0.730287    0.324216   -0.601302
   -0.110611   -0.048526   -0.992678
   -0.122475    0.181524   -0.975730
   -0.516047   -0.096291    0.851131
    0.089492   -0.311155   -0.946136
   -0.016481    0.265992    0.963834
   -0.148876   -0.435060    0.888008
   -0.119241    0.268399    0.955899
    0.059418    0.121129    0.990857
   -0.522745    0.018042    0.852298
   -0.806353   -0.062803   -0.588090
    0.076329    0.332362   -0.940058
    0.281776    0.410624    0.867174
    0.224333    0.091042   -0.970251
   -0.225438    0.243354   -0.943375
   -0.202206    0.231120    0.951681
    0.209643   -0.202178    0.956647
    0.285188   -0.444498    0.849170
   -0.095039   -0.233782   -0.967633
    0.357302   -0.204794    0.911260
    0.374875   -0.113900   -0.920052
    0.369418    0.091942   -0.924704
    0.027949    0.535912    0.843811
    0.031704   -0.113151    0.993072
    0.727214    0.054590   -0.684237
   -0.188422   -0.157124    0.969437
    0.281465   -0.274694    0.919413
   -0.071549   -0.016696   -0.997297
   -0.319767    0.118707   -0.940031
   -0.040256   -0.056868    0.997570
   -0.156948   -0.390134   -0.907283
    0.054852   -0.079304   -0.995340
    0.093805    0.627904   -0.772617
   -0.164452   -0.369113    0.914719
    0.317799   -0.408712   -0.855545
   -0.083539    0.070187   -0.994030
   -0.586007   -0.242422   -0.773193
    0.294927    0.587011   -0.753947
    0.058267    0.029115   -0.997876
    0.002155    0.173813    0.984776
   -0.148117   -0.080909   -0.985655
   -0.402525   -0.125893    0.906711
   -0.053869   -0.149306    0.987323
    0.509848   -0.398733    0.762278
   -0.082923    0.339321    0.937009
   -0.388908    0.534498    0.750375
   -0.255316   -0.271546   -0.927942
    0.312642    0.538115   -0.782744
    0.413846   -0.207794    0.886314
    0.478300    0.555717   -0.680006
    0.184641   -0.405363    0.895315
    0.026061   -0.339922    0.940092
    0.076238    0.040830    0.996253
    0.337683   -0.592057   -0.731737
    0.103973    0.266149   -0.958308
   -0.193195    0.275899    0.941571
   -0.043138    0.095885   -0.994457
    0.504935   -0.517608   -0.690741
    0.143217   -0.377620    0.914818
    0.019531    0.112151    0.993499
    0.381979   -0.284373   -0.879332
    0.237492    0.090248    0.967188
   -0.125981   -0.309168    0.942626
    0.229868    0.257981   -0.938406
   -0.088190    0.178838   -0.979918
   -0.160060   -0.073782    0.984346
