 Created on  1Aug2024 at 19:52:59 
   -0.240590   -0.496239    0.834184
   -0.431520   -0.646774   -0.628868
   -0.243635   -0.383987    0.890615
   -0.314688    0.020323    0.948978
   -0.348405   -0.823284   -0.448128
    0.625783    0.575808   -0.526157
    0.221045   -0.926698    0.303924
    0.008849    0.202272    0.979289
    0.112502    0.370416   -0.922028
   -0.688024    0.634252   -0.352631
    0.120701   -0.528761    0.840145
   -0.324066   -0.040646    0.945161
    0.451684    0.030963   -0.891640
   -0.501627    0.783063   -0.367673
    0.206301   -0.093315    0.974029
    0.299223   -0.321376    0.898434
   -0.082219    0.550281   -0.830921
   -0.624533    0.370239   -0.687664
    0.429878   -0.168103    0.887100
   -0.159142   -0.689039    0.707035
   -0.138324    0.223034   -0.964947
   -0.348600    0.281478    0.894007
   -0.467382    0.058836   -0.882096
    0.295939    0.531477   -0.793695
    0.233079   -0.751688    0.616960
   -0.233060   -0.212684    0.948920
    0.372149    0.837140   -0.400876
   -0.218804    0.425239   -0.878235
    0.857334   -0.333328    0.392264
    0.766352   -0.121506    0.630826
    0.378778    0.095695   -0.920527
    0.097787    0.460063   -0.882485
    0.434980    0.261812    0.861537
    0.583891    0.254318    0.770969
    0.752350    0.404044   -0.520306
   -0.544529    0.277686   -0.791441
    0.192571   -0.237644    0.952072
   -0.285643   -0.545755    0.787756
   -0.994465    0.097681    0.038694
    0.904315   -0.019712   -0.426410
   -0.291292   -0.456219    0.840841
   -0.313667    0.156049   -0.936622
    0.391406   -0.384430    0.836071
    0.178888   -0.652054    0.736766
    0.282521    0.799228   -0.530487
   -0.250195    0.418212   -0.873213
    0.343416   -0.299595    0.890117
   -0.031374   -0.106553    0.993812
    0.043345    0.038017   -0.998337
    0.097455    0.348488   -0.932233
    0.098451   -0.170203    0.980479
    0.168723    0.218633    0.961110
    0.414371   -0.175887   -0.892950
    0.362632    0.697086   -0.618521
   -0.311399   -0.586650    0.747578
   -0.716294   -0.184805    0.672882
   -0.257267    0.222724   -0.940323
   -0.554277    0.486269   -0.675515
   -0.637237    0.009290    0.770612
   -0.208164   -0.205644    0.956231
    0.433365    0.262833   -0.862040
   -0.023471    0.530735    0.847213
    0.408777   -0.111424   -0.905807
    0.142893    0.166317   -0.975664
   -0.621317   -0.450442    0.641145
    0.092336   -0.838684    0.536734
    0.401773    0.505918   -0.763299
   -0.488587    0.229076   -0.841907
    0.969174   -0.171697    0.176699
   -0.290395    0.048792    0.955662
    0.489536    0.094140   -0.866886
   -0.719418   -0.220030   -0.658805
   -0.416777    0.124087    0.900500
    0.015655   -0.199293    0.979815
   -0.296293    0.680924   -0.669741
    0.381936    0.545600   -0.745953
   -0.090968   -0.248407    0.964375
    0.391935   -0.293048    0.872072
   -0.609963    0.090934   -0.787195
    0.679733    0.061116   -0.730909
   -0.089941    0.001696    0.995946
   -0.179591    0.939199   -0.292664
    0.538635   -0.681509    0.495397
    0.013119   -0.703541    0.710533
   -0.683730    0.442912   -0.579950
   -0.500813    0.420758   -0.756405
   -0.479652   -0.646195    0.593604
    0.443466   -0.006300    0.896269
    0.315035   -0.351082   -0.881756
    0.230029    0.766978   -0.599025
   -0.116474   -0.539473    0.833908
    0.091424   -0.722349    0.685459
    0.895553    0.348236   -0.276979
   -0.121934   -0.347820   -0.929598
    0.104684    0.718644    0.687453
    0.063857   -0.549342    0.833154
    0.380813    0.674405   -0.632582
   -0.378292   -0.309920   -0.872264
   -0.145912   -0.115613    0.982519
    0.491317   -0.197636    0.848261
   -0.044960    0.931877   -0.359978
    0.062817   -0.808545    0.585071
   -0.145051    0.018972   -0.989242
   -0.445050   -0.077289   -0.892164
    0.362753   -0.488653    0.793492
   -0.012977   -0.432891    0.901353
    0.068457    0.233747   -0.969885
   -0.683459    0.444283   -0.579220
   -0.113693    0.143258    0.983133
   -0.088481    0.608503    0.788603
   -0.169134   -0.323680   -0.930927
    0.653756    0.267704   -0.707770
   -0.395060   -0.085826    0.914638
   -0.587853   -0.652605    0.478054
   -0.158293   -0.163109   -0.973827
    0.315309   -0.298272   -0.900896
   -0.247051   -0.431188    0.867781
    0.171523    0.065472    0.983002
   -0.309924    0.044227   -0.949732
    0.068619   -0.258851   -0.963477
    0.362441    0.130882    0.922771
   -0.469531   -0.083161   -0.878991
    0.153247   -0.126552    0.980051
   -0.188015    0.552764    0.811851
   -0.730158    0.506397   -0.458728
    0.040973    0.441689   -0.896232
    0.157728    0.056651    0.985856
    0.120513   -0.173370    0.977456
    0.141358    0.698286   -0.701723
   -0.214045    0.206432   -0.954762
    0.365482   -0.337906    0.867319
   -0.613021   -0.645535    0.455510
    0.144350    0.731014   -0.666920
   -0.017460   -0.295439   -0.955202
